n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
43,1.777780,-0.888889,1.000000,-0.464283,0.612016,-0.434315,0.633482,-0.292260,0.583379,-0.377194,0.609790,-0.432433,0.488189
44,2.666670,-1.388890,1.000000,-0.286324,0.491324,-0.261977,0.520052,-0.137483,0.476432,-0.198933,0.481096,-0.263259,0.412055
45,3.166670,-1.388890,1.000000,-0.185983,0.495699,-0.161892,0.524829,-0.050203,0.485122,-0.101143,0.482093,-0.178426,0.431295
46,3.166670,-0.888889,1.000000,-0.188750,0.630474,-0.161551,0.649161,-0.053663,0.612635,-0.103307,0.611246,-0.194988,0.541727
47,2.666670,-0.888889,1.000000,-0.288619,0.623677,-0.260479,0.643467,-0.140978,0.602405,-0.200575,0.611109,-0.279435,0.522847
48,3.555560,-1.388890,1.000000,-0.106375,0.500430,-0.083508,0.528550,0.022180,0.491677,-0.025473,0.482777,-0.112219,0.445995
49,4.055560,-1.388890,1.000000,-0.004451,0.504694,0.017883,0.533243,0.114251,0.499108,0.070124,0.483262,-0.029141,0.464989
50,4.055560,-0.888889,1.000000,-0.007059,0.641407,0.016788,0.657446,0.111017,0.630612,0.068357,0.610599,-0.045885,0.573736
51,3.555560,-0.888889,1.000000,-0.109076,0.634742,-0.083607,0.652162,0.018231,0.621110,-0.026963,0.611308,-0.128858,0.556214
52,4.444440,-1.388890,1.000000,0.076546,0.508456,0.097133,0.535391,0.190010,0.505774,0.144141,0.483012,0.035875,0.478412
53,4.944440,-1.388890,1.000000,0.179847,0.512783,0.199524,0.538692,0.287407,0.513845,0.237422,0.482885,0.117390,0.496935
54,4.944440,-0.888889,1.000000,0.177753,0.649652,0.196128,0.662796,0.284480,0.648653,0.236129,0.609196,0.100302,0.604445
55,4.444440,-0.888889,1.000000,0.074400,0.644771,0.095544,0.660128,0.186941,0.639352,0.142911,0.610658,0.019053,0.587730
56,5.333330,-1.388890,1.000000,0.262019,0.515670,0.278867,0.541228,0.366613,0.519516,0.309359,0.482179,0.180594,0.509779
57,5.833330,-1.388890,1.000000,0.366173,0.519918,0.380863,0.544255,0.468915,0.528188,0.399661,0.481794,0.260113,0.527366
